"base_cogs","base_cogs_sku","base_consumer_price","base_distributor_margin","base_distributor_margin_value","base_distributor_sales","base_gross_net","base_gross_net_value","base_gross_sales","base_gross_sales_per_sku","base_net_sales","base_net_sales_per_sku","base_price","base_price_to_retailer","base_retailer_margin","base_retailer_margin_value","base_sales_margin_per_sku","base_sales_margin_percent","base_sales_margin_value","base_size","base_sop","base_value_sales","base_value_share","base_vat","base_volume","base_volume_share","base_wd","cogs_index","company","diff_value_sales","distributor_margin_value_index","distributor_sales_index","gross_net_value_index","gross_sales_index","group_brand","group_manufacturer","group_segments","group_size","group_sub_brand","id","index_volume_share","is_active","net_sales_index","new_cogs","new_cogs_sku","new_consumer_price","new_distributor_margin","new_distributor_margin_value","new_distributor_sales","new_gross_net","new_gross_net_value","new_gross_sales","new_gross_sales_per_sku","new_net_sales","new_net_sales_per_sku","new_price","new_price_to_retailer","new_retailer_margin","new_retailer_margin_value","new_sales_margin_per_sku","new_sales_margin_percent","new_sales_margin_value","new_size","new_sop","new_value_sales","new_value_share","new_vat","new_volume","new_volume_share","new_wd","old_sop","old_volume_share","project_id","retailer_margin_value_index","sales","sales_margin_percent_index","sales_margin_value_index","sku_name","volume_index","newvat","basevat","baseretailermargin","newretailermargin","basedistributormargin","newdistributormargin","basegrosstonet","newgrosstonet","basecogspersku","newcogspersku"
"5.2698267545","109.0984612028","197.4789915966","0","0","7.9944519544","0.0686777347","0.5490408505","7.9944519544","165.5049486461","7.4454111039","154.1384436891","235","165.5049486461","0.1619111111","1.5444550284","45.0399824863","0.2922047311","2.1755843493","0.24","0.0309064565","11.3512993094","0.0032100827","0.19","0.0115928163","0.2300176983","46.1865","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","240","LVQR PORTIONS","189","1","true","1","5.2698267545","109.0984612028","197.4789915966","0","0","7.9944519544","0.0686777347","0.5490408505","7.9944519544","165.5049486461","7.4454111039","154.1384436891","235","165.5049486461","0.1619111111","1.5444550284","45.0399824863","0.2922047311","2.1755843493","0.24","0.0309064565","11.3512993094","0.0032100827","0.19","0.0115928163","0.2300176983","46.1865","0.0309064565","0.2300176983","4","1","11.3512993094","1","1","LVQR EDAM 16P 240G","1","","","","","","","","","",""
"8.1340938558","118.6553071744","184.8739495798","0","0","10.4169778342","0.035","0.3645942242","10.4169778342","151.9566563467","10.05238361","146.6381733746","220","151.9566563467","0.1780526316","2.2565560615","27.9828662002","0.1908293424","1.9182897541","0.2","0.0151470824","15.0815053359","0.0042649638","0.19","0.0137104594","0.2720347003","46.2638","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD AUTRE","200","LVQR SPREAD","195","1","true","1","8.1340938558","118.6553071744","184.8739495798","0","0","10.4169778342","0.035","0.3645942242","10.4169778342","151.9566563467","10.05238361","146.6381733746","220","151.9566563467","0.1780526316","2.2565560615","27.9828662002","0.1908293424","1.9182897541","0.2","0.0151470824","15.0815053359","0.0042649638","0.19","0.0137104594","0.2720347003","46.2638","0.0151470824","0.2720347003","4","1","15.0815053359","1","1","LVQR koul youm 200G","1","","","","","","","","","",""
"0","0","71.4285714286","0","0","7.9045138818","0","0","7.9045138818","71.4285714286","7.9045138818","71.4285714286","85","71.4285714286","0","0","71.4285714286","1","7.9045138818","0.11","0.0163442966","9.4063715193","0.0026600683","0.19","0.0121729514","0.2415283897","11.675","","","0","","1","","1","CHEEZY","FALAIT","SPREAD PORTIONS","110","CHEEZY PORTIONS","196","1","true","1","0","0","71.4285714286","0","0","7.9045138818","0","0","7.9045138818","71.4285714286","7.9045138818","71.4285714286","85","71.4285714286","0","0","71.4285714286","1","7.9045138818","0.11","0.0163442966","9.4063715193","0.0026600683","0.19","0.0121729514","0.2415283897","11.675","0.0163442966","0.2415283897","4","","9.4063715193","1","1","CHEEZY  8P 110G","1","","","","","","","","","",""
"0","0","109.243697479","0","0","204.2008341419","0","0","204.2008341419","109.243697479","204.2008341419","109.243697479","130","109.243697479","0","0","109.243697479","1","204.2008341419","0.22","0.0532457487","242.9989926289","0.0687187301","0.19","0.4112290644","8.1593600968","75.3169","","","0","","1","","1","CHEEZY","FALAIT","SPREAD PORTIONS","220","CHEEZY PORTIONS","197","1","true","1","0","0","109.243697479","0","0","204.2008341419","0","0","204.2008341419","109.243697479","204.2008341419","109.243697479","130","109.243697479","0","0","109.243697479","1","204.2008341419","0.22","0.0532457487","242.9989926289","0.0687187301","0.19","0.4112290644","8.1593600968","75.3169","0.0532457487","8.1593600968","4","","242.9989926289","1","1","CHEEZY 16P 220G","1","","","","","","","","","",""
"0","0","130.2521008403","0","0","19.0445460848","0","0","19.0445460848","130.2521008403","19.0445460848","130.2521008403","155","130.2521008403","0","0","130.2521008403","1","19.0445460848","0.22","0.0394998397","22.663009841","0.00640897","0.19","0.0321668527","0.6382353702","29.4008","","","0","","1","","1","CHEEZY","FALAIT","SPREAD PORTIONS","220","CHEEZY PORTIONS","198","1","true","1","0","0","130.2521008403","0","0","19.0445460848","0","0","19.0445460848","130.2521008403","19.0445460848","130.2521008403","155","130.2521008403","0","0","130.2521008403","1","19.0445460848","0.22","0.0394998397","22.663009841","0.00640897","0.19","0.0321668527","0.6382353702","29.4008","0.0394998397","0.6382353702","4","","22.663009841","1","1","CHEEZY EDAM 16P 220G","1","","","","","","","","","",""
"0","0","130.2521008403","0","0","9.8891112265","0","0","9.8891112265","130.2521008403","9.8891112265","130.2521008403","155","130.2521008403","0","0","130.2521008403","1","9.8891112265","0.22","0.0249662512","11.7680423595","0.0033279353","0.19","0.0167030279","0.3314114464","10.6428","","","0","","1","","1","CHEEZY","FALAIT","SPREAD PORTIONS","220","CHEEZY PORTIONS","199","1","true","1","0","0","130.2521008403","0","0","9.8891112265","0","0","9.8891112265","130.2521008403","9.8891112265","130.2521008403","155","130.2521008403","0","0","130.2521008403","1","9.8891112265","0.22","0.0249662512","11.7680423595","0.0033279353","0.19","0.0167030279","0.3314114464","10.6428","0.0249662512","0.3314114464","4","","11.7680423595","1","1","CHEEZY CHED 16P 220G","1","","","","","","","","","",""
"0","0","159.6638655462","0","0","116.5314194237","0","0","116.5314194237","159.6638655462","116.5314194237","159.6638655462","190","159.6638655462","0","0","159.6638655462","1","116.5314194237","0.33","0.020221459","138.6723891142","0.0392157613","0.19","0.2408520443","4.778841597","64.6668","","","0","","1","","1","CHEEZY","FALAIT","SPREAD PORTIONS","330","CHEEZY PORTIONS","200","1","true","1","0","0","159.6638655462","0","0","116.5314194237","0","0","116.5314194237","159.6638655462","116.5314194237","159.6638655462","190","159.6638655462","0","0","159.6638655462","1","116.5314194237","0.33","0.020221459","138.6723891142","0.0392157613","0.19","0.2408520443","4.778841597","64.6668","0.020221459","4.778841597","4","","138.6723891142","1","1","CHEEZY  24P 330G","1","","","","","","","","","",""
"0","0","331.9327731092","0","0","7.7124364752","0","0","7.7124364752","331.9327731092","7.7124364752","331.9327731092","395","331.9327731092","0","0","331.9327731092","1","7.7124364752","0.9","0.0166714708","9.1777994055","0.0025954294","0.19","0.0209114417","0.4149122657","16.9965","","","0","","1","","1","CHEEZY","FALAIT","SPREAD BARRES","900","CHEEZY PORTIONS","201","1","true","1","0","0","331.9327731092","0","0","7.7124364752","0","0","7.7124364752","331.9327731092","7.7124364752","331.9327731092","395","331.9327731092","0","0","331.9327731092","1","7.7124364752","0.9","0.0166714708","9.1777994055","0.0025954294","0.19","0.0209114417","0.4149122657","16.9965","0.0166714708","0.4149122657","4","","9.1777994055","1","1","CHEEZY  900G","1","","","","","","","","","",""
"0","0","147.0588235294","0","0","28.9419640555","0","0","28.9419640555","147.0588235294","28.9419640555","147.0588235294","175","147.0588235294","0","0","147.0588235294","1","28.9419640555","0.32","0.0315931503","34.440937226","0.0097397007","0.19","0.0629777138","1.2495659701","25.6297","","","0","","1","","1","CHEEZY","FALAIT","SPREAD BARRES","320","CHEEZY BARRES","202","1","true","1","0","0","147.0588235294","0","0","28.9419640555","0","0","28.9419640555","147.0588235294","28.9419640555","147.0588235294","175","147.0588235294","0","0","147.0588235294","1","28.9419640555","0.32","0.0315931503","34.440937226","0.0097397007","0.19","0.0629777138","1.2495659701","25.6297","0.0315931503","1.2495659701","4","","34.440937226","1","1","CHEEZY 320G","1","","","","","","","","","",""
"0","0","189.0756302521","0","0","11.0065220989","0","0","11.0065220989","189.0756302521","11.0065220989","189.0756302521","225","189.0756302521","0","0","189.0756302521","1","11.0065220989","0.48","0.0918354373","13.0977612977","0.0037039722","0.19","0.0279418908","0.5544062137","16.8459","","","0","","1","","1","CHEEZY","FALAIT","SPREAD BARRES","480","CHEEZY BARRES","203","1","true","1","0","0","189.0756302521","0","0","11.0065220989","0","0","11.0065220989","189.0756302521","11.0065220989","189.0756302521","225","189.0756302521","0","0","189.0756302521","1","11.0065220989","0.48","0.0918354373","13.0977612977","0.0037039722","0.19","0.0279418908","0.5544062137","16.8459","0.0918354373","0.5544062137","4","","13.0977612977","1","1","CHEEZY 480G","1","","","","","","","","","",""
