"ad_diff_vs","base_cogs","base_cogs_sku","base_consumer_price","base_distributor_margin","base_distributor_margin_value","base_distributor_sales","base_gross_net","base_gross_net_value","base_gross_sales","base_gross_sales_per_sku","base_net_sales","base_net_sales_per_sku","base_price","base_price_to_retailer","base_retailer_margin","base_retailer_margin_value","base_sales_margin_per_sku","base_sales_margin_percent","base_sales_margin_value","base_size","base_sop","base_value_sales","base_value_share","base_vat","base_volume","base_volume_share","base_wd","cogs_index","company","diff_value_sales","diff_vs","distributor_margin_value_index","distributor_sales_index","gross_net_value_index","gross_sales_index","group_brand","group_manufacturer","group_segments","group_size","group_sub_brand","id","index_volume_share","is_active","net_sales_index","new_cogs","new_cogs_sku","new_consumer_price","new_distributor_margin","new_distributor_margin_value","new_distributor_sales","new_gross_net","new_gross_net_value","new_gross_sales","new_gross_sales_per_sku","new_net_sales","new_net_sales_per_sku","new_price","new_price_to_retailer","new_retailer_margin","new_retailer_margin_value","new_sales_margin_per_sku","new_sales_margin_percent","new_sales_margin_value","new_size","new_sop","new_value_sales","new_value_share","new_vat","new_volume","new_volume_share","new_wd","old_sop","old_volume_share","project_id","retailer_margin_value_index","sales","sales_margin_percent_index","sales_margin_value_index","sku_name","volume_index","newvat","basevat","baseretailermargin","newretailermargin","basedistributormargin","newdistributormargin","basegrosstonet","newgrosstonet","basecogspersku","newcogspersku"
"0.0000016919","5.2698267556","109.0984612028","197.4789915966","0","0","7.9944519562","0.0686777347","0.5490408505","7.9944519562","165.5049486483","7.4454111057","154.1384436935","235","165.5049486483","0.1619111111","1.5444550286","45.0399824907","0.2922047311","2.17558435","0.24","0.0309064565","11.3512993119","0.0032100827","0.19","0.0115928163","0.2300176983","46.1865","1.0000073555","true","0.0000834944","0.0000016919","","1.0000073555","1.0000073555","1.0000073555","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","240","LVQR PORTIONS","189","1.0000073555","true","1.0000073555","5.2698655178","109.0984612028","197.4789915966","0","0","7.9945107593","0.0686777347","0.549044889","7.9945107593","165.5049486483","7.4454658703","154.1384436935","235","165.5049486483","0.1619111111","1.5444663888","45.0399824907","0.2922047311","2.1756003525","0.24","0.0309066838","11.3513828063","0.0032101022","0.19","0.0115929016","0.2300193902","46.1865","0.0309064565","0.2300176983","4","1.0000073555","11.3512993094","1","1.0000073555","LVQR EDAM 16P 240G","1.0000073555","","","","","","","","","",""
"0.0000020015","8.1340938555","118.6553071744","184.8739495798","0","0","10.4169778335","0.035","0.3645942242","10.4169778335","151.9566563429","10.0523836093","146.6381733709","220","151.9566563429","0.1780526316","2.2565560617","27.9828661965","0.1908293424","1.9182897538","0.2","0.0151470824","15.0815053353","0.0042649638","0.19","0.0137104594","0.2720347003","46.2638","1.0000073577","true","0.0001109649","0.0000020015","","1.0000073577","1.0000073577","1.0000073577","LA VACHE QUI RIT","GROUPE BEL","SPREAD AUTRE","200","LVQR SPREAD","195","1.0000073577","true","1.0000073577","8.1341537036","118.6553071744","184.8739495798","0","0","10.4170544783","0.035","0.3645969067","10.4170544783","151.9566563429","10.0524575716","146.6381733709","220","151.9566563429","0.1780526316","2.2565726647","27.9828661965","0.1908293424","1.918303868","0.2","0.0151471938","15.0816163002","0.0042649896","0.19","0.0137105603","0.2720367018","46.2638","0.0151470824","0.2720347003","4","1.0000073577","15.0815053359","1","1.0000073577","LVQR koul youm 200G","1.0000073577","","","","","","","","","",""
"0.0000017759","0","0","71.4285714286","0","0","7.9045138818","0","0","7.9045138818","71.4285714286","7.9045138818","71.4285714286","85","71.4285714286","0","0","71.4285714286","1","7.9045138818","0.11","0.0163442966","9.4063715194","0.0026600683","0.19","0.0121729514","0.2415283897","11.675","","","0.0000691618","0.0000017759","","1.0000073527","","1.0000073527","CHEEZY","FALAIT","SPREAD PORTIONS","110","CHEEZY PORTIONS","196","1.0000073527","true","1.0000073527","0","0","71.4285714286","0","0","7.904572001","0","0","7.904572001","71.4285714286","7.904572001","71.4285714286","85","71.4285714286","0","0","71.4285714286","1","7.904572001","0.11","0.0163444168","9.4064406812","0.0026600843","0.19","0.0121730409","0.2415301656","11.675","0.0163442966","0.2415283897","4","","9.4063715193","1","1.0000073527","CHEEZY  8P 110G","1.0000073527","","","","","","","","","",""
"0.0000600059","0","0","109.243697479","0","0","204.2008341421","0","0","204.2008341421","109.243697479","204.2008341421","109.243697479","130","109.243697479","0","0","109.243697479","1","204.2008341421","0.22","0.0532457487","242.9989926291","0.0687187301","0.19","0.4112290644","8.1593600968","75.3169","","","0.0017870746","0.0000600059","","1.0000073542","","1.0000073542","CHEEZY","FALAIT","SPREAD PORTIONS","220","CHEEZY PORTIONS","197","1.0000073542","true","1.0000073542","0","0","109.243697479","0","0","204.2023358854","0","0","204.2023358854","109.243697479","204.2023358854","109.243697479","130","109.243697479","0","0","109.243697479","1","204.2023358854","0.22","0.0532461403","243.0007797037","0.068719146","0.19","0.4112320887","8.1594201027","75.3169","0.0532457487","8.1593600968","4","","242.9989926289","1","1.0000073542","CHEEZY 16P 220G","1.0000073542","","","","","","","","","",""
"0.0000046939","0","0","130.2521008403","0","0","19.0445460855","0","0","19.0445460855","130.2521008403","19.0445460855","130.2521008403","155","130.2521008403","0","0","130.2521008403","1","19.0445460855","0.22","0.0394998397","22.6630098418","0.00640897","0.19","0.0321668527","0.6382353702","29.4008","","","0.0001666761","0.0000046939","","1.0000073545","","1.0000073545","CHEEZY","FALAIT","SPREAD PORTIONS","220","CHEEZY PORTIONS","198","1.0000073545","true","1.0000073545","0","0","130.2521008403","0","0","19.0446861495","0","0","19.0446861495","130.2521008403","19.0446861495","130.2521008403","155","130.2521008403","0","0","130.2521008403","1","19.0446861495","0.22","0.0395001302","22.6631765179","0.0064090088","0.19","0.0321670893","0.6382400641","29.4008","0.0394998397","0.6382353702","4","","22.663009841","1","1.0000073545","CHEEZY EDAM 16P 220G","1.0000073545","","","","","","","","","",""
"0.0000024372","0","0","130.2521008403","0","0","9.8891112259","0","0","9.8891112259","130.2521008403","9.8891112259","130.2521008403","155","130.2521008403","0","0","130.2521008403","1","9.8891112259","0.22","0.0249662512","11.7680423589","0.0033279353","0.19","0.0167030279","0.3314114464","10.6428","","","0.0000865423","0.0000024372","","1.000007354","","1.000007354","CHEEZY","FALAIT","SPREAD PORTIONS","220","CHEEZY PORTIONS","199","1.000007354","true","1.000007354","0","0","130.2521008403","0","0","9.8891839506","0","0","9.8891839506","130.2521008403","9.8891839506","130.2521008403","155","130.2521008403","0","0","130.2521008403","1","9.8891839506","0.22","0.0249664348","11.7681289012","0.0033279554","0.19","0.0167031507","0.3314138836","10.6428","0.0249662512","0.3314114464","4","","11.7680423595","1","1.000007354","CHEEZY CHED 16P 220G","1.000007354","","","","","","","","","",""
"0.000035148","0","0","159.6638655462","0","0","116.5314194232","0","0","116.5314194232","159.6638655462","116.5314194232","159.6638655462","190","159.6638655462","0","0","159.6638655462","1","116.5314194232","0.33","0.020221459","138.6723891136","0.0392157613","0.19","0.2408520442","4.778841597","64.6668","","","0.001019925","0.000035148","","1.0000073549","","1.0000073549","CHEEZY","FALAIT","SPREAD PORTIONS","330","CHEEZY PORTIONS","200","1.0000073549","true","1.0000073549","0","0","159.6638655462","0","0","116.532276503","0","0","116.532276503","159.6638655462","116.532276503","159.6638655462","190","159.6638655462","0","0","159.6638655462","1","116.532276503","0.33","0.0202216077","138.6734090386","0.0392159986","0.19","0.2408538157","4.778876745","64.6668","0.020221459","4.778841597","4","","138.6723891142","1","1.0000073549","CHEEZY  24P 330G","1.0000073549","","","","","","","","","",""
"0.0000030509","0","0","331.9327731092","0","0","7.7124364758","0","0","7.7124364758","331.9327731092","7.7124364758","331.9327731092","395","331.9327731092","0","0","331.9327731092","1","7.7124364758","0.9","0.0166714708","9.1777994063","0.0025954294","0.19","0.0209114417","0.4149122657","16.9965","","","0.0000674847","0.0000030509","","1.000007353","","1.000007353","CHEEZY","FALAIT","SPREAD BARRES","900","CHEEZY PORTIONS","201","1.000007353","true","1.000007353","0","0","331.9327731092","0","0","7.7124931857","0","0","7.7124931857","331.9327731092","7.7124931857","331.9327731092","395","331.9327731092","0","0","331.9327731092","1","7.7124931857","0.9","0.0166715934","9.177866891","0.0025954451","0.19","0.0209115954","0.4149153166","16.9965","0.0166714708","0.4149122657","4","","9.1777994055","1","1.000007353","CHEEZY  900G","1.000007353","","","","","","","","","",""
"0.0000091908","0","0","147.0588235294","0","0","28.941964056","0","0","28.941964056","147.0588235294","28.941964056","147.0588235294","175","147.0588235294","0","0","147.0588235294","1","28.941964056","0.32","0.0315931503","34.4409372266","0.0097397007","0.19","0.0629777138","1.2495659701","25.6297","","","0.0002533185","0.0000091908","","1.0000073552","","1.0000073552","CHEEZY","FALAIT","SPREAD BARRES","320","CHEEZY BARRES","202","1.0000073552","true","1.0000073552","0","0","147.0588235294","0","0","28.9421769287","0","0","28.9421769287","147.0588235294","28.9421769287","147.0588235294","175","147.0588235294","0","0","147.0588235294","1","28.9421769287","0.32","0.0315933827","34.4411905452","0.0097397597","0.19","0.062978177","1.2495751609","25.6297","0.0315931503","1.2495659701","4","","34.440937226","1","1.0000073552","CHEEZY 320G","1.0000073552","","","","","","","","","",""
"0.0000040772","0","0","189.0756302521","0","0","11.0065220999","0","0","11.0065220999","189.0756302521","11.0065220999","189.0756302521","225","189.0756302521","0","0","189.0756302521","1","11.0065220999","0.48","0.0918354373","13.0977612988","0.0037039722","0.19","0.0279418908","0.5544062137","16.8459","","","0.0000963228","0.0000040772","","1.0000073541","","1.0000073541","CHEEZY","FALAIT","SPREAD BARRES","480","CHEEZY BARRES","203","1.0000073541","true","1.0000073541","0","0","189.0756302521","0","0","11.0066030434","0","0","11.0066030434","189.0756302521","11.0066030434","189.0756302521","225","189.0756302521","0","0","189.0756302521","1","11.0066030434","0.48","0.0918361127","13.0978576216","0.0037039947","0.19","0.0279420963","0.5544102909","16.8459","0.0918354373","0.5544062137","4","","13.0977612977","1","1.0000073541","CHEEZY 480G","1.0000073541","","","","","","","","","",""
